logFC	Gene.symbol	Gene.title
-33717986,00	FAM107A	family with sequence similarity 107 member A
-24169837,00	CD36	CD36 molecule
-23880718,00	GRK5	G protein-coupled receptor kinase 5
-25535085,00	CA4	carbonic anhydrase 4
-22274919,00	EDNRB	endothelin receptor type B
-26195734,00	CDH5	cadherin 5
-44174695,00	AGER	advanced glycosylation end-product specific receptor
-1182151,00	NPR1	natriuretic peptide receptor 1
-24664548,00	TEK	TEK receptor tyrosine kinase
-13639731,00	HIGD1B	HIG1 hypoxia inducible domain family member 1B
-34118535,00	EXOSC7///CLEC3B	exosome component 7///C-type lectin domain family 3 member B
-25300979,00	TCF21	transcription factor 21
-15591324,00	JAM2	junctional adhesion molecule 2
-30376889,00	AGER	advanced glycosylation end-product specific receptor
-31612603,00	EDNRB	endothelin receptor type B
-18139137,00	PECAM1	platelet and endothelial cell adhesion molecule 1
-12198198,00	STARD13	StAR related lipid transfer domain containing 13
-28358372,00	GPM6A	glycoprotein M6A
-16889025,00	PECAM1	platelet and endothelial cell adhesion molecule 1
-21765235,00	DUOX1	dual oxidase 1
-22584735,00	VWF	von Willebrand factor
-25550412,00	FHL1	four and a half LIM domains 1
-18963864,00	FAM107A	family with sequence similarity 107 member A
-38385413,00	FABP4	fatty acid binding protein 4
-15515014,00	ADH1B	alcohol dehydrogenase 1B (class I)
-22280579,00	FOXF1	forkhead box F1
-16991027,00	AGTR1	angiotensin II receptor type 1
-22117826,00	LDB2	LIM domain binding 2
-25549016,00	PIR-FIGF///FIGF	PIR-FIGF readthrough///c-fos induced growth factor
-29599097,00	ABCA8	ATP binding cassette subfamily A member 8
-26841751,00	FHL1	four and a half LIM domains 1
-22989318,00	EDNRB	endothelin receptor type B
-18890749,00	FHL1	four and a half LIM domains 1
-12927307,00	TAL1	TAL bHLH transcription factor 1
-1768854,00	RAMP2	receptor activity modifying protein 2
-15948044,00	RASIP1	Ras interacting protein 1
-15130448,00	ACADL	acyl-CoA dehydrogenase
-24222017,00	TGFBR3	transforming growth factor beta receptor 3
-25671154,00	CD36	CD36 molecule
-18882777,00	CLDN5	claudin 5
-20494433,00	KCNK3	potassium two pore domain channel subfamily K member 3
-16941137,00	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
-39898216,00	SFTPC	surfactant protein C
-16522229,00	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
-20092844,00	CA4	carbonic anhydrase 4
-17377278,00	ACADL	acyl-CoA dehydrogenase
-20874254,00	EPAS1	endothelial PAS domain protein 1
-0,93	FZD4	frizzled class receptor 4
-26777407,00	CAV1	caveolin 1
-11465154,00	SASH1	SAM and SH3 domain containing 1
-18991925,00	ADARB1	adenosine deaminase
-14595362,00	LRRN3	leucine rich repeat neuronal 3
-11389693,00	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
-14903901,00	SASH1	SAM and SH3 domain containing 1
-20318916,00	SPOCK2	sparc/osteonectin
-12774482,00	S1PR1	sphingosine-1-phosphate receptor 1
-19936949,00	ADAMTSL3	ADAMTS like 3
-23636024,00	FHL1	four and a half LIM domains 1
-14980591,00	TACC1	transforming acidic coiled-coil containing protein 1
-23273083,00	GPM6A	glycoprotein M6A
-22245382,00	GPM6B	glycoprotein M6B
-18764116,00	KIAA1462	KIAA1462
-21736568,00	GPM6B	glycoprotein M6B
-17910368,00	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
-11802629,00	CD93	CD93 molecule
-19668727,00	SLIT2	slit guidance ligand 2
-18686365,00	AOC3	amine oxidase
-2401342,00	FHL1	four and a half LIM domains 1
-14117506,00	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
-19401847,00	ARHGAP6	Rho GTPase activating protein 6
-1777455,00	TNS1	tensin 1
