"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","signaling receptor binding","GO:0005102","true","0.00000136925750905501","5.863514868706854","1521","183","39","20246","CD36,EDNRB,CDH5,JAM2,VWF,FABP4,AGTR1,TGFBR3,CAV1,S1PR1,TACC1,SLIT2,ADAMTS8,SLIT3,MMRN2,SVEP1,FCN3,SEMA5A,NOTCH4,EMP2,KCNJ8,DIAPH2,LRRC32,LPL,ENG,FBLN5,REEP1,ARRB1,DOCK4,KL,ANGPT1,ICAM2,ZBTB16,PTPRD,WIF1,GAB2,TGFBR2,SELP,SEMA3G"
"GO:MF","amide binding","GO:0033218","true","0.000004190371916776789","5.377747429483406","245","183","15","20246","CD36,EDNRB,AGER,NPR1,RAMP2,ACADL,FZD4,ACACB,CRYAB,ITM2A,RAMP3,BCHE,ADRB2,GHR,VIPR1"
"GO:MF","transforming growth factor beta binding","GO:0050431","false","0.00002721349443706905","4.565215687647102","23","183","6","20246","CD36,TGFBR3,LRRC32,ENG,CHRDL1,TGFBR2"
"GO:MF","protein binding","GO:0005515","false","0.00006242203834760202","4.204662053859374","15123","183","165","20246","FAM107A,CD36,GRK5,CA4,EDNRB,CDH5,AGER,TEK,TCF21,JAM2,PECAM1,STARD13,GPM6A,DUOX1,VWF,FHL1,FABP4,ADH1B,AGTR1,LDB2,TAL1,RAMP2,RASIP1,ACADL,TGFBR3,CLDN5,KCNK3,SFTPC,EPAS1,FZD4,CAV1,SASH1,ADARB1,LRRN3,SPOCK2,S1PR1,ADAMTSL3,TACC1,GPM6B,CD93,SLIT2,AOC3,ARHGAP6,TNS1,ADAMTS8,FGFR4,STXBP6,SLIT3,FXYD6,ASPA,FHL5,MMRN2,SVEP1,TIE1,ZNF106,LIMS2,RAI2,EMCN,PPM1F,ACACB,FCN3,FXYD1,CLDN18,GJA4,CAT,RGCC,TBX2,SEMA5A,TNNC1,FEZ1,SPTBN1,CRYAB,NOTCH4,STX12,CLIC5,HEG1,EMP2,ARAP3,ADIRF,GPX3,ITM2A,LYVE1,SESN1,PDZD2,MFAP4,RAMP3,CAV2,KLF2,PKNOX2,KCNJ8,TMEM100,ARHGEF15,SYNM,MACF1,PIP5K1B,CD34,GFOD1,ERG,DIAPH2,LRRC32,LPL,RASL12,COX7A1,KANK3,PTPRB,ENG,FBLN5,CHRDL1,HOXA5,REEP1,QKI,DENND3,TTC28,PDLIM2,THBD,LRRC36,SRPX,GATA2,ARRB1,VSTM4,WFS1,DOCK4,ARHGEF6,LMO2,KL,DLC1,GATA6,ANGPT1,TBX3,KLF4,P3H2,DNASE1L3,DACH1,BCHE,SOSTDC1,ADRB2,DPYSL2,ICAM2,CTNNAL1,PID1,ZBTB16,INPP5A,CASKIN2,SPARCL1,PTPRD,GHR,WIF1,AHNAK,SYNC,GAB2,KANK2,TSPAN7,SPTAN1,TGFBR2,VIPR1,ABHD6,TRPV2,ANOS1,LIMCH1,EML1,HBB,SELP,SEMA3G,PCDH17,ID4"
"GO:MF","growth factor binding","GO:0019838","true","0.00024035501846725663","3.6191468056348404","134","183","10","20246","CD36,TEK,TGFBR3,FGFR4,LRRC32,ENG,CHRDL1,KL,GHR,TGFBR2"
"GO:MF","glycosaminoglycan binding","GO:0005539","true","0.00027653701865725655","3.558246723590923","249","183","13","20246","TGFBR3,SPOCK2,SLIT2,ADAMTS8,FGFR4,SLIT3,SEMA5A,LYVE1,LPL,ENG,TGFBR2,ANOS1,SELP"
"GO:MF","calcium ion binding","GO:0005509","true","0.0004693661609787474","3.3284882241322897","729","183","22","20246","CDH5,DUOX1,SPOCK2,CD93,SLIT2,AOC3,SLIT3,SVEP1,TNNC1,NOTCH4,HEG1,MACF1,LPL,FBLN5,THBD,PCDH12,DNASE1L3,SPARCL1,SPTAN1,EML1,SELP,PCDH17"
"GO:MF","amyloid-beta binding","GO:0001540","false","0.00046963778195832146","3.3282369717349476","82","183","8","20246","CD36,AGER,FZD4,CRYAB,ITM2A,RAMP3,BCHE,ADRB2"
"GO:MF","cell adhesion molecule binding","GO:0050839","false","0.0023462969947453107","2.629617015658111","564","183","18","20246","CDH5,AGER,JAM2,VWF,ADAMTS8,STXBP6,SVEP1,SPTBN1,EMP2,MACF1,PTPRB,FBLN5,ICAM2,CTNNAL1,PTPRD,AHNAK,SPTAN1,SELP"
"GO:MF","sulfur compound binding","GO:1901681","true","0.004570674156208407","2.3400197385016863","273","183","12","20246","ACADL,TGFBR3,SLIT2,ADAMTS8,FGFR4,SLIT3,ACACB,SEMA5A,CD34,LPL,ANOS1,SELP"
"GO:MF","cytokine binding","GO:0019955","false","0.0056047005447216166","2.2514475865033","150","183","9","20246","CD36,TGFBR3,FZD4,LRRC32,ENG,CHRDL1,SOSTDC1,GHR,TGFBR2"
"GO:MF","protein-containing complex binding","GO:0044877","true","0.012038931028424708","1.919412073631918","1314","183","28","20246","CD36,CDH5,AGER,JAM2,VWF,TGFBR3,FZD4,CAV1,CD93,ADAMTS8,SVEP1,TNNC1,SPTBN1,CRYAB,EMP2,PKNOX2,MACF1,LPL,ENG,FBLN5,WFS1,ADRB2,ICAM2,CTNNAL1,SPARCL1,SPTAN1,TGFBR2,SELP"
"GO:MF","transmembrane receptor protein serine/threonine kinase activity","GO:0004675","true","0.013728392997837003","1.8623802969233247","19","183","4","20246","TGFBR3,ENG,SOSTDC1,TGFBR2"
"GO:MF","BMP binding","GO:0036122","false","0.01703956338357353","1.7685415376523048","20","183","4","20246","TGFBR3,ENG,CHRDL1,SOSTDC1"
"GO:MF","transmembrane receptor protein kinase activity","GO:0019199","false","0.021133316952792323","1.675032333461652","100","183","7","20246","TEK,TGFBR3,FGFR4,TIE1,ENG,SOSTDC1,TGFBR2"
"GO:MF","angiotensin receptor binding","GO:0031701","true","0.03574909497055833","1.4467349483878706","9","183","3","20246","EDNRB,ARRB1,ZBTB16"
"GO:BP","vasculature development","GO:0001944","true","7.6511776061161e-27","26.116271716679233","762","182","50","21026","CD36,CDH5,NPR1,TEK,TCF21,PECAM1,STARD13,FOXF1,AGTR1,TAL1,RAMP2,RASIP1,TGFBR3,CLDN5,EPAS1,FZD4,CAV1,SASH1,S1PR1,CD93,SLIT2,MMRN2,SVEP1,TIE1,EMCN,GJA4,RGCC,TBX2,SEMA5A,NOTCH4,HEG1,EMP2,KLF2,KCNJ8,TMEM100,ARHGEF15,CD34,TMEM204,PTPRB,ENG,HOXA5,QKI,GATA2,VSTM4,GATA6,ANGPT1,TBX3,KLF4,WIF1,TGFBR2"
"GO:BP","blood vessel development","GO:0001568","false","1.4657892284729581e-24","23.833928474096012","732","182","47","21026","CD36,CDH5,NPR1,TEK,TCF21,PECAM1,STARD13,FOXF1,AGTR1,TAL1,RAMP2,RASIP1,TGFBR3,CLDN5,EPAS1,FZD4,CAV1,SASH1,S1PR1,CD93,SLIT2,MMRN2,TIE1,EMCN,GJA4,RGCC,TBX2,SEMA5A,NOTCH4,HEG1,EMP2,KLF2,KCNJ8,TMEM100,CD34,PTPRB,ENG,HOXA5,QKI,GATA2,VSTM4,GATA6,ANGPT1,TBX3,KLF4,WIF1,TGFBR2"
